PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,AgeMissing,CabinDeck,Survived
1,3,male,22.0,1,0,7.25,S,Mr,0,Unknown,0
2,1,female,38.0,1,0,71.2833,C,Mrs,0,C,1
3,3,female,26.0,0,0,7.925,S,Miss,0,Unknown,1
4,1,female,35.0,1,0,53.1,S,Mrs,0,C,1
5,3,male,35.0,0,0,8.05,S,Mr,0,Unknown,0
6,3,male,25.0,0,0,8.4583,Q,Mr,1,Unknown,0
7,1,male,54.0,0,0,51.8625,S,Mr,0,E,0
8,3,male,2.0,3,1,21.075,S,Master,0,Unknown,0
9,3,female,27.0,0,2,11.1333,S,Mrs,0,Unknown,1
10,2,female,14.0,1,0,30.0708,C,Mrs,0,Unknown,1
11,3,female,4.0,1,1,16.7,S,Miss,0,G,1
12,1,female,58.0,0,0,26.55,S,Miss,0,C,1
13,3,male,20.0,0,0,8.05,S,Mr,0,Unknown,0
14,3,male,39.0,1,5,31.275,S,Mr,0,Unknown,0
15,3,female,14.0,0,0,7.8542,S,Miss,0,Unknown,0
16,2,female,55.0,0,0,16.0,S,Mrs,0,Unknown,1
17,3,male,2.0,4,1,29.125,Q,Master,0,Unknown,0
18,2,male,30.0,0,0,13.0,S,Mr,1,Unknown,1
19,3,female,31.0,1,0,18.0,S,Mrs,0,Unknown,0
20,3,female,21.5,0,0,7.225,C,Mrs,1,Unknown,1
21,2,male,35.0,0,0,26.0,S,Mr,0,Unknown,0
22,2,male,34.0,0,0,13.0,S,Mr,0,D,1
23,3,female,15.0,0,0,8.0292,Q,Miss,0,Unknown,1
24,1,male,28.0,0,0,35.5,S,Mr,0,A,1
25,3,female,8.0,3,1,21.075,S,Miss,0,Unknown,0
26,3,female,38.0,1,5,31.3875,S,Mrs,0,Unknown,1
27,3,male,25.0,0,0,7.225,C,Mr,1,Unknown,0
28,1,male,19.0,3,2,263.0,S,Mr,0,C,0
29,3,female,21.5,0,0,7.8792,Q,Miss,1,Unknown,1
30,3,male,25.0,0,0,7.8958,S,Mr,1,Unknown,0
31,1,male,40.0,0,0,27.7208,C,Royalty,0,Unknown,0
32,1,female,35.0,1,0,146.5208,C,Mrs,1,B,1
33,3,female,21.5,0,0,7.75,Q,Miss,1,Unknown,1
34,2,male,66.0,0,0,10.5,S,Mr,0,Unknown,0
35,1,male,28.0,1,0,82.1708,C,Mr,0,Unknown,0
36,1,male,42.0,1,0,52.0,S,Mr,0,Unknown,0
37,3,male,25.0,0,0,7.2292,C,Mr,1,Unknown,1
38,3,male,21.0,0,0,8.05,S,Mr,0,Unknown,0
39,3,female,18.0,2,0,18.0,S,Miss,0,Unknown,0
40,3,female,14.0,1,0,11.2417,C,Miss,0,Unknown,1
41,3,female,40.0,1,0,9.475,S,Mrs,0,Unknown,0
42,2,female,27.0,1,0,21.0,S,Mrs,0,Unknown,0
43,3,male,25.0,0,0,7.8958,C,Mr,1,Unknown,0
44,2,female,3.0,1,2,41.5792,C,Miss,0,Unknown,1
45,3,female,19.0,0,0,7.8792,Q,Miss,0,Unknown,1
46,3,male,25.0,0,0,8.05,S,Mr,1,Unknown,0
47,3,male,25.0,1,0,15.5,Q,Mr,1,Unknown,0
48,3,female,21.5,0,0,7.75,Q,Miss,1,Unknown,1
49,3,male,25.0,2,0,21.6792,C,Mr,1,Unknown,0
50,3,female,18.0,1,0,17.8,S,Mrs,0,Unknown,0
51,3,male,7.0,4,1,39.6875,S,Master,0,Unknown,0
52,3,male,21.0,0,0,7.8,S,Mr,0,Unknown,0
53,1,female,49.0,1,0,76.7292,C,Mrs,0,D,1
54,2,female,29.0,1,0,26.0,S,Mrs,0,Unknown,1
55,1,male,65.0,0,1,61.9792,C,Mr,0,B,0
56,1,male,40.0,0,0,35.5,S,Mr,1,C,1
57,2,female,21.0,0,0,10.5,S,Miss,0,Unknown,1
58,3,male,28.5,0,0,7.2292,C,Mr,0,Unknown,0
59,2,female,5.0,1,2,27.75,S,Miss,0,Unknown,1
60,3,male,11.0,5,2,46.9,S,Master,0,Unknown,0
61,3,male,22.0,0,0,7.2292,C,Mr,0,Unknown,0
62,1,female,38.0,0,0,80.0,S,Miss,0,B,1
63,1,male,45.0,1,0,83.475,S,Mr,0,C,0
64,3,male,4.0,3,2,27.9,S,Master,0,Unknown,0
65,1,male,40.0,0,0,27.7208,C,Mr,1,Unknown,0
66,3,male,25.0,1,1,15.2458,C,Master,1,Unknown,1
67,2,female,29.0,0,0,10.5,S,Mrs,0,F,1
68,3,male,19.0,0,0,8.1583,S,Mr,0,Unknown,0
69,3,female,17.0,4,2,7.925,S,Miss,0,Unknown,1
70,3,male,26.0,2,0,8.6625,S,Mr,0,Unknown,0
71,2,male,32.0,0,0,10.5,S,Mr,0,Unknown,0
72,3,female,16.0,5,2,46.9,S,Miss,0,Unknown,0
73,2,male,21.0,0,0,73.5,S,Mr,0,Unknown,0
74,3,male,26.0,1,0,14.4542,C,Mr,0,Unknown,0
75,3,male,32.0,0,0,56.4958,S,Mr,0,Unknown,1
76,3,male,25.0,0,0,7.65,S,Mr,0,F,0
77,3,male,25.0,0,0,7.8958,S,Mr,1,Unknown,0
78,3,male,25.0,0,0,8.05,S,Mr,1,Unknown,0
79,2,male,0.83,0,2,29.0,S,Master,0,Unknown,1
80,3,female,30.0,0,0,12.475,S,Miss,0,Unknown,1
81,3,male,22.0,0,0,9.0,S,Mr,0,Unknown,0
82,3,male,29.0,0,0,9.5,S,Mr,0,Unknown,1
83,3,female,21.5,0,0,7.7875,Q,Miss,1,Unknown,1
84,1,male,28.0,0,0,47.1,S,Mr,0,Unknown,0
85,2,female,17.0,0,0,10.5,S,Miss,0,Unknown,1
86,3,female,33.0,3,0,15.85,S,Mrs,0,Unknown,1
87,3,male,16.0,1,3,34.375,S,Mr,0,Unknown,0
88,3,male,25.0,0,0,8.05,S,Mr,1,Unknown,0
89,1,female,23.0,3,2,263.0,S,Miss,0,C,1
90,3,male,24.0,0,0,8.05,S,Mr,0,Unknown,0
91,3,male,29.0,0,0,8.05,S,Mr,0,Unknown,0
92,3,male,20.0,0,0,7.8542,S,Mr,0,Unknown,0
93,1,male,46.0,1,0,61.175,S,Mr,0,E,0
94,3,male,26.0,1,2,20.575,S,Mr,0,Unknown,0
95,3,male,59.0,0,0,7.25,S,Mr,0,Unknown,0
96,3,male,25.0,0,0,8.05,S,Mr,1,Unknown,0
97,1,male,71.0,0,0,34.6542,C,Mr,0,A,0
98,1,male,23.0,0,1,63.3583,C,Mr,0,D,1
99,2,female,34.0,0,1,23.0,S,Mrs,0,Unknown,1
100,2,male,34.0,1,0,26.0,S,Mr,0,Unknown,0
101,3,female,28.0,0,0,7.8958,S,Miss,0,Unknown,0
102,3,male,25.0,0,0,7.8958,S,Mr,1,Unknown,0
103,1,male,21.0,0,1,77.2875,S,Mr,0,D,0
104,3,male,33.0,0,0,8.6542,S,Mr,0,Unknown,0
105,3,male,37.0,2,0,7.925,S,Mr,0,Unknown,0
106,3,male,28.0,0,0,7.8958,S,Mr,0,Unknown,0
107,3,female,21.0,0,0,7.65,S,Miss,0,Unknown,1
108,3,male,25.0,0,0,7.775,S,Mr,1,Unknown,1
109,3,male,38.0,0,0,7.8958,S,Mr,0,Unknown,0
110,3,female,21.5,1,0,24.15,Q,Miss,1,Unknown,1
111,1,male,47.0,0,0,52.0,S,Mr,0,C,0
112,3,female,14.5,1,0,14.4542,C,Miss,0,Unknown,0
113,3,male,22.0,0,0,8.05,S,Mr,0,Unknown,0
114,3,female,20.0,1,0,9.825,S,Miss,0,Unknown,0
115,3,female,17.0,0,0,14.4583,C,Miss,0,Unknown,0
116,3,male,21.0,0,0,7.925,S,Mr,0,Unknown,0
117,3,male,70.5,0,0,7.75,Q,Mr,0,Unknown,0
118,2,male,29.0,1,0,21.0,S,Mr,0,Unknown,0
119,1,male,24.0,0,1,247.5208,C,Mr,0,B,0
120,3,female,2.0,4,2,31.275,S,Miss,0,Unknown,0
121,2,male,21.0,2,0,73.5,S,Mr,0,Unknown,0
122,3,male,25.0,0,0,8.05,S,Mr,1,Unknown,0
123,2,male,32.5,1,0,30.0708,C,Mr,0,Unknown,0
124,2,female,32.5,0,0,13.0,S,Miss,0,E,1
125,1,male,54.0,0,1,77.2875,S,Mr,0,D,0
126,3,male,12.0,1,0,11.2417,C,Master,0,Unknown,1
127,3,male,25.0,0,0,7.75,Q,Mr,1,Unknown,0
128,3,male,24.0,0,0,7.1417,S,Mr,0,Unknown,1
129,3,female,21.5,1,1,22.3583,C,Miss,1,F,1
130,3,male,45.0,0,0,6.975,S,Mr,0,Unknown,0
131,3,male,33.0,0,0,7.8958,C,Mr,0,Unknown,0
132,3,male,20.0,0,0,7.05,S,Mr,0,Unknown,0
133,3,female,47.0,1,0,14.5,S,Mrs,0,Unknown,0
134,2,female,29.0,1,0,26.0,S,Mrs,0,Unknown,1
135,2,male,25.0,0,0,13.0,S,Mr,0,Unknown,0
136,2,male,23.0,0,0,15.0458,C,Mr,0,Unknown,0
137,1,female,19.0,0,2,26.2833,S,Miss,0,D,1
138,1,male,37.0,1,0,53.1,S,Mr,0,C,0
139,3,male,16.0,0,0,9.2167,S,Mr,0,Unknown,0
140,1,male,24.0,0,0,79.2,C,Mr,0,B,0
141,3,female,21.5,0,2,15.2458,C,Mrs,1,Unknown,0
142,3,female,22.0,0,0,7.75,S,Miss,0,Unknown,1
143,3,female,24.0,1,0,15.85,S,Mrs,0,Unknown,1
144,3,male,19.0,0,0,6.75,Q,Mr,0,Unknown,0
145,2,male,18.0,0,0,11.5,S,Mr,0,Unknown,0
146,2,male,19.0,1,1,36.75,S,Mr,0,Unknown,0
147,3,male,27.0,0,0,7.7958,S,Mr,0,Unknown,1
148,3,female,9.0,2,2,34.375,S,Miss,0,Unknown,0
149,2,male,36.5,0,2,26.0,S,Mr,0,F,0
150,2,male,42.0,0,0,13.0,S,Officer,0,Unknown,0
151,2,male,51.0,0,0,12.525,S,Officer,0,Unknown,0
152,1,female,22.0,1,0,66.6,S,Mrs,0,C,1
153,3,male,55.5,0,0,8.05,S,Mr,0,Unknown,0
154,3,male,40.5,0,2,14.5,S,Mr,0,Unknown,0
155,3,male,25.0,0,0,7.3125,S,Mr,1,Unknown,0
156,1,male,51.0,0,1,61.3792,C,Mr,0,Unknown,0
157,3,female,16.0,0,0,7.7333,Q,Miss,0,Unknown,1
158,3,male,30.0,0,0,8.05,S,Mr,0,Unknown,0
159,3,male,25.0,0,0,8.6625,S,Mr,1,Unknown,0
160,3,male,25.0,8,2,69.55,S,Master,1,Unknown,0
161,3,male,44.0,0,1,16.1,S,Mr,0,Unknown,0
162,2,female,40.0,0,0,15.75,S,Mrs,0,Unknown,1
163,3,male,26.0,0,0,7.775,S,Mr,0,Unknown,0
164,3,male,17.0,0,0,8.6625,S,Mr,0,Unknown,0
165,3,male,1.0,4,1,39.6875,S,Master,0,Unknown,0
166,3,male,9.0,0,2,20.525,S,Master,0,Unknown,1
167,1,female,35.0,0,1,55.0,S,Mrs,1,E,1
168,3,female,45.0,1,4,27.9,S,Mrs,0,Unknown,0
169,1,male,40.0,0,0,25.925,S,Mr,1,Unknown,0
170,3,male,28.0,0,0,56.4958,S,Mr,0,Unknown,0
171,1,male,61.0,0,0,33.5,S,Mr,0,B,0
172,3,male,4.0,4,1,29.125,Q,Master,0,Unknown,0
173,3,female,1.0,1,1,11.1333,S,Miss,0,Unknown,1
174,3,male,21.0,0,0,7.925,S,Mr,0,Unknown,0
175,1,male,56.0,0,0,30.6958,C,Mr,0,A,0
176,3,male,18.0,1,1,7.8542,S,Mr,0,Unknown,0
177,3,male,25.0,3,1,25.4667,S,Master,1,Unknown,0
178,1,female,50.0,0,0,28.7125,C,Miss,0,C,0
179,2,male,30.0,0,0,13.0,S,Mr,0,Unknown,0
180,3,male,36.0,0,0,0.0,S,Mr,0,Unknown,0
181,3,female,21.5,8,2,69.55,S,Miss,1,Unknown,0
182,2,male,30.0,0,0,15.05,C,Mr,1,Unknown,0
183,3,male,9.0,4,2,31.3875,S,Master,0,Unknown,0
184,2,male,1.0,2,1,39.0,S,Master,0,F,1
185,3,female,4.0,0,2,22.025,S,Miss,0,Unknown,1
186,1,male,40.0,0,0,50.0,S,Mr,1,A,0
187,3,female,21.5,1,0,15.5,Q,Mrs,1,Unknown,1
188,1,male,45.0,0,0,26.55,S,Mr,0,Unknown,1
189,3,male,40.0,1,1,15.5,Q,Mr,0,Unknown,0
190,3,male,36.0,0,0,7.8958,S,Mr,0,Unknown,0
191,2,female,32.0,0,0,13.0,S,Mrs,0,Unknown,1
192,2,male,19.0,0,0,13.0,S,Mr,0,Unknown,0
193,3,female,19.0,1,0,7.8542,S,Miss,0,Unknown,1
194,2,male,3.0,1,1,26.0,S,Master,0,F,1
195,1,female,44.0,0,0,27.7208,C,Mrs,0,B,1
196,1,female,58.0,0,0,146.5208,C,Miss,0,B,1
197,3,male,25.0,0,0,7.75,Q,Mr,1,Unknown,0
198,3,male,42.0,0,1,8.4042,S,Mr,0,Unknown,0
199,3,female,21.5,0,0,7.75,Q,Miss,1,Unknown,1
200,2,female,24.0,0,0,13.0,S,Miss,0,Unknown,0
201,3,male,28.0,0,0,9.5,S,Mr,0,Unknown,0
202,3,male,25.0,8,2,69.55,S,Mr,1,Unknown,0
203,3,male,34.0,0,0,6.4958,S,Mr,0,Unknown,0
204,3,male,45.5,0,0,7.225,C,Mr,0,Unknown,0
205,3,male,18.0,0,0,8.05,S,Mr,0,Unknown,1
206,3,female,2.0,0,1,10.4625,S,Miss,0,G,0
207,3,male,32.0,1,0,15.85,S,Mr,0,Unknown,0
208,3,male,26.0,0,0,18.7875,C,Mr,0,Unknown,1
209,3,female,16.0,0,0,7.75,Q,Miss,0,Unknown,1
210,1,male,40.0,0,0,31.0,C,Mr,0,A,1
211,3,male,24.0,0,0,7.05,S,Mr,0,Unknown,0
212,2,female,35.0,0,0,21.0,S,Miss,0,Unknown,1
213,3,male,22.0,0,0,7.25,S,Mr,0,Unknown,0
214,2,male,30.0,0,0,13.0,S,Mr,0,Unknown,0
215,3,male,25.0,1,0,7.75,Q,Mr,1,Unknown,0
216,1,female,31.0,1,0,113.275,C,Miss,0,D,1
217,3,female,27.0,0,0,7.925,S,Miss,0,Unknown,1
218,2,male,42.0,1,0,27.0,S,Mr,0,Unknown,0
219,1,female,32.0,0,0,76.2917,C,Miss,0,D,1
220,2,male,30.0,0,0,10.5,S,Mr,0,Unknown,0
221,3,male,16.0,0,0,8.05,S,Mr,0,Unknown,1
222,2,male,27.0,0,0,13.0,S,Mr,0,Unknown,0
223,3,male,51.0,0,0,8.05,S,Mr,0,Unknown,0
224,3,male,25.0,0,0,7.8958,S,Mr,1,Unknown,0
225,1,male,38.0,1,0,90.0,S,Mr,0,C,1
226,3,male,22.0,0,0,9.35,S,Mr,0,Unknown,0
227,2,male,19.0,0,0,10.5,S,Mr,0,Unknown,1
228,3,male,20.5,0,0,7.25,S,Mr,0,Unknown,0
229,2,male,18.0,0,0,13.0,S,Mr,0,Unknown,0
230,3,female,21.5,3,1,25.4667,S,Miss,1,Unknown,0
231,1,female,35.0,1,0,83.475,S,Mrs,0,C,1
232,3,male,29.0,0,0,7.775,S,Mr,0,Unknown,0
233,2,male,59.0,0,0,13.5,S,Mr,0,Unknown,0
234,3,female,5.0,4,2,31.3875,S,Miss,0,Unknown,1
235,2,male,24.0,0,0,10.5,S,Mr,0,Unknown,0
236,3,female,21.5,0,0,7.55,S,Miss,1,Unknown,0
237,2,male,44.0,1,0,26.0,S,Mr,0,Unknown,0
238,2,female,8.0,0,2,26.25,S,Miss,0,Unknown,1
239,2,male,19.0,0,0,10.5,S,Mr,0,Unknown,0
240,2,male,33.0,0,0,12.275,S,Mr,0,Unknown,0
241,3,female,21.5,1,0,14.4542,C,Miss,1,Unknown,0
242,3,female,21.5,1,0,15.5,Q,Miss,1,Unknown,1
243,2,male,29.0,0,0,10.5,S,Mr,0,Unknown,0
244,3,male,22.0,0,0,7.125,S,Mr,0,Unknown,0
245,3,male,30.0,0,0,7.225,C,Mr,0,Unknown,0
246,1,male,44.0,2,0,90.0,Q,Officer,0,C,0
247,3,female,25.0,0,0,7.775,S,Miss,0,Unknown,0
248,2,female,24.0,0,2,14.5,S,Mrs,0,Unknown,1
249,1,male,37.0,1,1,52.5542,S,Mr,0,D,1
250,2,male,54.0,1,0,26.0,S,Officer,0,Unknown,0
251,3,male,25.0,0,0,7.25,S,Mr,1,Unknown,0
252,3,female,29.0,1,1,10.4625,S,Mrs,0,G,0
253,1,male,62.0,0,0,26.55,S,Mr,0,C,0
254,3,male,30.0,1,0,16.1,S,Mr,0,Unknown,0
255,3,female,41.0,0,2,20.2125,S,Mrs,0,Unknown,0
256,3,female,29.0,0,2,15.2458,C,Mrs,0,Unknown,1
257,1,female,35.0,0,0,79.2,C,Mrs,1,Unknown,1
258,1,female,30.0,0,0,86.5,S,Miss,0,B,1
259,1,female,35.0,0,0,512.3292,C,Miss,0,Unknown,1
260,2,female,50.0,0,1,26.0,S,Mrs,0,Unknown,1
261,3,male,25.0,0,0,7.75,Q,Mr,1,Unknown,0
262,3,male,3.0,4,2,31.3875,S,Master,0,Unknown,1
263,1,male,52.0,1,1,79.65,S,Mr,0,E,0
264,1,male,40.0,0,0,0.0,S,Mr,0,B,0
265,3,female,21.5,0,0,7.75,Q,Miss,1,Unknown,0
266,2,male,36.0,0,0,10.5,S,Mr,0,Unknown,0
267,3,male,16.0,4,1,39.6875,S,Mr,0,Unknown,0
268,3,male,25.0,1,0,7.775,S,Mr,0,Unknown,1
269,1,female,58.0,0,1,153.4625,S,Mrs,0,C,1
270,1,female,35.0,0,0,135.6333,S,Miss,0,C,1
271,1,male,40.0,0,0,31.0,S,Mr,1,Unknown,0
272,3,male,25.0,0,0,0.0,S,Mr,0,Unknown,1
273,2,female,41.0,0,1,19.5,S,Mrs,0,Unknown,1
274,1,male,37.0,0,1,29.7,C,Mr,0,C,0
275,3,female,21.5,0,0,7.75,Q,Miss,1,Unknown,1
276,1,female,63.0,1,0,77.9583,S,Miss,0,D,1
277,3,female,45.0,0,0,7.75,S,Miss,0,Unknown,0
278,2,male,30.0,0,0,0.0,S,Mr,1,Unknown,0
279,3,male,7.0,4,1,29.125,Q,Master,0,Unknown,0
280,3,female,35.0,1,1,20.25,S,Mrs,0,Unknown,1
281,3,male,65.0,0,0,7.75,Q,Mr,0,Unknown,0
282,3,male,28.0,0,0,7.8542,S,Mr,0,Unknown,0
283,3,male,16.0,0,0,9.5,S,Mr,0,Unknown,0
284,3,male,19.0,0,0,8.05,S,Mr,0,Unknown,1
285,1,male,40.0,0,0,26.0,S,Mr,1,A,0
286,3,male,33.0,0,0,8.6625,C,Mr,0,Unknown,0
287,3,male,30.0,0,0,9.5,S,Mr,0,Unknown,1
288,3,male,22.0,0,0,7.8958,S,Mr,0,Unknown,0
289,2,male,42.0,0,0,13.0,S,Mr,0,Unknown,1
290,3,female,22.0,0,0,7.75,Q,Miss,0,Unknown,1
291,1,female,26.0,0,0,78.85,S,Miss,0,Unknown,1
292,1,female,19.0,1,0,91.0792,C,Mrs,0,B,1
293,2,male,36.0,0,0,12.875,C,Mr,0,D,0
294,3,female,24.0,0,0,8.85,S,Miss,0,Unknown,0
295,3,male,24.0,0,0,7.8958,S,Mr,0,Unknown,0
296,1,male,40.0,0,0,27.7208,C,Mr,1,Unknown,0
